protons,charge,quantum_number,excited_quantum_number,oscillator_strength
1,0,1,2,0.4162
1,0,1,3,0.0791
1,0,1,4,0.02899
1,0,1,5,0.01394
1,0,1,6,0.0078
1,0,1,7,0.004814
1,0,1,8,0.003184
1,0,1,9,0.002216
1,0,1,10,0.001605
1,0,2,3,0.6408
1,0,2,4,0.1193
1,0,2,5,0.04467
1,0,2,6,0.02209
1,0,2,7,0.01271
1,0,2,8,0.008037
1,0,2,9,0.005429
1,0,2,10,0.003851
1,0,3,4,0.842
1,0,3,5,0.1506
1,0,3,6,0.05585
1,0,3,7,0.02768
1,0,3,8,0.01604
1,0,3,9,0.01023
1,0,3,10,0.006981
1,0,4,5,1.038
1,0,4,6,0.1794
1,0,4,7,0.06551
1,0,4,8,0.03229
1,0,4,9,0.01872
1,0,4,10,0.01195
1,0,5,6,1.231
1,0,5,7,0.207
1,0,5,8,0.07455
1,0,5,9,0.03644
1,0,5,10,0.02102
1,0,6,7,1.425
1,0,6,8,0.234
1,0,6,9,0.08318
1,0,6,10,0.04035
1,0,7,8,1.615
1,0,7,9,0.2595
1,0,7,10,0.09162
1,0,8,9,1.81
1,0,8,10,0.2876
1,0,9,10,2.001
